time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b
0,600,0,0,0,0,0,0,0.0555555543137921,0,0,0,0,0,0,2.05380981721093
0,600,0,0,0,0,0,0,0.0555555543137921,0,0,0,0,0,0,2.05380981721093
0,600,0,0,0,0,0,0,0.0555555543137921,0,0,0,0,0,0,2.05380981721093
0,600,0,0,0,0,0,0,0.0555555543137921,0,0,0,0,0,0,2.05380981721093
0.01666667,600,0,0,0,0,0,0,0.111111108627584,0,0,0,0,0,0,2.05380981721093
0.03333334,600,0,0,0,0,0,0,0.222222217255168,0,0,0,0,0,0,2.05380981721093
0.05,600,0,0,0,0,0,0,0.333333325882753,0,0,0,0,0,0,2.05380981721093
0.06666667,600,0,0,0,0,0,0,0.388888880196545,0,0,0,0,0,0,2.05380981721093
0.08333334,600,0,0,0,0,0,0,0.499999988824129,0,0,0,0,0,0,2.05380981721093
0.1,600,0,0,0,0,0,0,0.611111097451713,0,0,0,0,0,0,2.05380981721093
0.1166667,600,0,0,0,0,0,0,0.666666651765505,0,0,0,0,0,0,2.05380981721093
0.1333333,600,0,0,0,0,0,0,0.77777776039309,0,0,0,0,0,0,2.05380981721093
0.15,600,0,0,0,0,0,0,0.888888869020674,0,0,0,0,0,0,2.05380981721093
0.1666667,600,0,0,0,0,0,0,0.944444423334466,0,0,0,0,0,0,2.05380981721093
0.1833333,600,0,0,0,0,0,0,1.05555553196205,0,0,0,0,0,0,2.05380981721093
0.2,600,0,0,0,0,0,0,1.16666664058963,0,0,0,0,0,0,2.05380981721093
0.2166667,600,0,0,0,0,0,0,1.22222219490343,0,0,0,0,0,0,2.05380981721093
0.2333333,600,0,0,0,0,0,0,1.33333330353101,0,0,0,0,0,0,2.05380981721093
0.25,600,0,0,0,0,0,0,1.4444444121586,0,0,0,0,0,0,2.05380981721093
0.2666667,600,0,0,0,0,0,0,1.49999996647239,0,0,0,0,0,0,2.05380981721093
0.2833334,600,0,0,0,0,0,0,1.61111107509997,0,0,0,0,0,0,2.05380981721093
0.3,600,0,0,0,0,0,0,1.72222218372756,0,0,0,0,0,0,2.05380981721093
0.3166667,600,0,0,0,0,0,0,1.77777773804135,0,0,0,0,0,0,2.05380981721093
0.3333333,600,0,0,0,0,0,0,1.88888884666893,0,0,0,0,0,0,2.05380981721093
0.35,600,0,0,0,0,0,0,1.99999995529652,0,0,0,0,0,0,2.05380981721093
0.3666667,600,0,0,0,0,0,0,2.05555550961031,0,0,0,0,0,0,2.05380981721093
0.3833334,600,0,0,0,0,0,0,2.16666661823789,0,0,0,0,0,0,2.05380981721093
0.4,600,0,0,0,0,0,0,2.27777772686548,0,0,0,0,0,0,2.05380981721093
0.4166667,600,0,0,0,0,0,0,2.33333328117927,0,0,0,0,0,0,2.05380981721093
0.4333334,600,0,0,0,0,0,0,2.44444438980686,0,0,0,0,0,0,2.05380981721093
0.45,600,0,0,0,0,0,0,2.55555549843444,0,0,0,0,0,0,2.05380981721093
0.4666667,600,0,0,0,0,0,0,2.61111105274823,0,0,0,0,0,0,2.05380981721093
0.4833333,600,0,0,0,0,0,0,2.72222216137582,0,0,0,0,0,0,2.05380981721093
0.5,600,0,0,0,0,0,0,2.8333332700034,0,0,0,0,0,0,2.05380981721093
0.5166667,600,0,0,0,0,0,0,2.88888882431719,0,0,0,0,0,0,2.05380981721093
0.5333334,600,0,0,0,0,0,0,2.99999993294478,0,0,0,0,0,0,2.05380981721093
0.55,600,0,0,0,0,0,0,3.11111104157236,0,0,0,0,0,0,2.05380981721093
0.5666667,600,0,0,0,0,0,0,3.16666659588615,0,0,0,0,0,0,2.05380981721093
0.5833334,600,0,0,0,0,0,0,3.27777770451374,0,0,0,0,0,0,2.05380981721093
0.6,600,0,0,0,0,0,0,3.38888881314132,0,0,0,0,0,0,2.05380981721093
0.6166667,600,0,0,0,0,0,0,3.44444436745512,0,0,0,0,0,0,2.05380981721093
0.6333334,600,0,0,0,0,0,0,3.5555554760827,0,0,0,0,0,0,2.05380981721093
0.65,600,0,0,0,0,0,0,3.66666658471028,0,0,0,0,0,0,2.05380981721093
0.6666667,600,0,0,0,0,0,0,3.72222213902408,0,0,0,0,0,0,2.05380981721093
0.6833334,600,0,0,0,0,0,0,3.83333324765166,0,0,0,0,0,0,2.05380981721093
0.7,600,0,0,0,0,0,0,3.94444435627925,0,0,0,0,0,0,2.05380981721093
0.7166667,600,0,0,0,0,0,0,3.99999991059304,0,0,0,0,0,0,2.05380981721093
0.7333333,600,0,0,0,0,0,0,4.11111101922062,0,0,0,0,0,0,2.05380981721093
0.7500001,600,0,0,0,0,0,0,4.22222212784821,0,0,0,0,0,0,2.05380981721093
0.7666667,600,0,0,0,0,0,0,4.277777682162,0,0,0,0,0,0,2.05380981721093
0.7833334,600,0,0,0,0,0,0,4.38888879078958,0,0,0,0,0,0,2.05380981721093
0.8000001,600,0,0,0,0,0,0,4.49999989941717,0,0,0,0,0,0,2.05380981721093
0.8166667,600,0,0,0,0,0,0,4.55555545373096,0,0,0,0,0,0,2.05380981721093
0.8333334,600,0,0,0,0,0,0,4.66666656235854,0,0,0,0,0,0,2.05380981721093
0.85,600,0,0,0,0,0,0,4.77777767098613,0,0,0,0,0,0,2.05380981721093
0.8666667,600,0,0,0,0,0,0,4.83333322529992,0,0,0,0,0,0,2.05380981721093
0.8833334,600,0,0,0,0,0,0,4.94444433392751,0,0,0,0,0,0,2.05380981721093
0.9,600,0,0,0,0,0,0,5.05555544255509,0,0,0,0,0,0,2.05380981721093
0.9166667,600,0,0,0,0,0,0,5.11111099686888,0,0,0,0,0,0,2.05380981721093
0.9333334,600,0,0,0,0,0,0,5.22222210549647,0,0,0,0,0,0,2.05380981721093
0.95,600,0,0,0,0,0,0,5.33333321412405,0,0,0,0,0,0,2.05380981721093
0.9666667,600,0,0,0,0,0,0,5.38888876843784,0,0,0,0,0,0,2.05380981721093
0.9833334,600,0,0,0,0,0,0,5.49999987706543,0,0,0,0,0,0,2.05380981721093
