time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity,thetaError
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,3.921875,0
0.01,600,0,0,0,0,0,0,0.0392187491233926,0,0,0,0,0,0,2.05380981721093,3.90625,0
0.02,600,0,0,0,0,0,0,0.0782812482502777,0,0,0,0,0,0,2.05380981721093,3.90625,0
0.03,600,0,0,0,0,0,0,0.117343747377163,0,0,0,0,0,0,2.05380981721093,3.90625,0
0.04,600,0,0,0,0,0,0,0.156406246504048,0,0,0,0,0,0,2.05380981721093,3.90625,0
0.05,600,0,0,0,0,0,0,0.195468745630933,0,0,0,0,0,0,2.05380981721093,3.90625,0
0.06,600,0,0,0,0,0,0,0.234531244757818,0,0,0,0,0,0,2.05380981721093,3.90625,0
0.07,600,0,0,0,0,0,0,0.273593743884703,0,0,0,0,0,0,2.05380981721093,3.8828125,0
0.08,600,0,0,0,0,0,0,0.312421868016827,0,0,0,0,0,0,2.05380981721093,3.8828125,0
0.09,600,0,0,0,0,0,0,0.351249992148951,0,0,0,0,0,0,2.05380981721093,3.8828125,0
0.09999999,600,0,0,0,0,0,0,0.390078116281074,0,0,0,0,0,0,2.05380981721093,3.8828125,0
0.11,600,0,0,0,0,0,0,0.428906240413198,0,0,0,0,0,0,2.05380981721093,3.8828125,0
0.12,600,0,0,0,0,0,0,0.467734364545322,0,0,0,0,0,0,2.05380981721093,3.8828125,0
0.13,600,0,0,0,0,0,0,0.506562488677446,0,0,0,0,0,0,2.05380981721093,3.8828125,0
0.14,600,0,0,0,0,0,0,0.54539061280957,0,0,0,0,0,0,2.05380981721093,3.8828125,0
0.15,600,0,0,0,0,0,0,0.584218736941693,0,0,0,0,0,0,2.05380981721093,3.8828125,0
0.16,600,0,0,0,0,0,0,0.623046861073817,0,0,0,0,0,0,2.05380981721093,3.8828125,0
0.17,600,0,0,0,0,0,0,0.661874985205941,0,0,0,0,0,0,2.05380981721093,3.8828125,0
0.18,600,0,0,0,0,0,0,0.700703109338065,0,0,0,0,0,0,2.05380981721093,3.8828125,0
0.19,600,0,0,0,0,0,0,0.739531233470188,0,0,0,0,0,0,2.05380981721093,3.8828125,0
0.2,600,0,0,0,0,0,0,0.778359357602312,0,0,0,0,0,0,2.05380981721093,3.8828125,0
0.21,600,0,0,0,0,0,0,0.817187481734436,0,0,0,0,0,0,2.05380981721093,3.8828125,0
0.22,600,0,0,0,0,0,0,0.85601560586656,0,0,0,0,0,0,2.05380981721093,3.8671875,0
0.23,600,0,0,0,0,0,0,0.894687480002176,0,0,0,0,0,0,2.05380981721093,3.8671875,0
0.24,600,0,0,0,0,0,0,0.933359354137792,0,0,0,0,0,0,2.05380981721093,3.8671875,0
0.25,600,0,0,0,0,0,0,0.972031228273408,0,0,0,0,0,0,2.05380981721093,3.8671875,0
0.26,600,0,0,0,0,0,0,1.01070310240902,0,0,0,0,0,0,2.05380981721093,3.8671875,0
0.27,600,0,0,0,0,0,0,1.04937497654464,0,0,0,0,0,0,2.05380981721093,3.8671875,0
0.28,600,0,0,0,0,0,0,1.08804685068026,0,0,0,0,0,0,2.05380981721093,3.8671875,0
0.29,600,0,0,0,0,0,0,1.12671872481587,0,0,0,0,0,0,2.05380981721093,3.8671875,0
0.3,600,0,0,0,0,0,0,1.16539059895149,0,0,0,0,0,0,2.05380981721093,3.8671875,0
0.31,600,0,0,0,0,0,0,1.20406247308711,0,0,0,0,0,0,2.05380981721093,3.8671875,0
0.32,600,0,0,0,0,0,0,1.24273434722272,0,0,0,0,0,0,2.05380981721093,3.8671875,0
0.33,600,0,0,0,0,0,0,1.28140622135834,0,0,0,0,0,0,2.05380981721093,3.8671875,0
0.34,600,0,0,0,0,0,0,1.32007809549395,0,0,0,0,0,0,2.05380981721093,3.8671875,0
0.35,600,0,0,0,0,0,0,1.35874996962957,0,0,0,0,0,0,2.05380981721093,3.8671875,0
0.36,600,0,0,0,0,0,0,1.39742184376519,0,0,0,0,0,0,2.05380981721093,3.8671875,0
0.37,600,0,0,0,0,0,0,1.4360937179008,0,0,0,0,0,0,2.05380981721093,3.8515625,0
0.38,600,0,0,0,0,0,0,1.47460934203991,0,0,0,0,0,0,2.05380981721093,3.8515625,0
0.39,600,0,0,0,0,0,0,1.51312496617902,0,0,0,0,0,0,2.05380981721093,3.8515625,0
0.4,600,0,0,0,0,0,0,1.55164059031813,0,0,0,0,0,0,2.05380981721093,3.8515625,0
0.41,600,0,0,0,0,0,0,1.59015621445724,0,0,0,0,0,0,2.05380981721093,3.8515625,0
0.42,600,0,0,0,0,0,0,1.62867183859635,0,0,0,0,0,0,2.05380981721093,3.8515625,0
0.43,600,0,0,0,0,0,0,1.66718746273546,0,0,0,0,0,0,2.05380981721093,3.8515625,0
0.44,600,0,0,0,0,0,0,1.70570308687456,0,0,0,0,0,0,2.05380981721093,3.8515625,0
0.45,600,0,0,0,0,0,0,1.74421871101367,0,0,0,0,0,0,2.05380981721093,3.8515625,0
0.46,600,0,0,0,0,0,0,1.78273433515278,0,0,0,0,0,0,2.05380981721093,3.8515625,0
0.47,600,0,0,0,0,0,0,1.82124995929189,0,0,0,0,0,0,2.05380981721093,3.8515625,0
0.48,600,0,0,0,0,0,0,1.859765583431,0,0,0,0,0,0,2.05380981721093,3.8515625,0
0.49,600,0,0,0,0,0,0,1.89828120757011,0,0,0,0,0,0,2.05380981721093,3.8515625,0
0.5,600,0,0,0,0,0,0,1.93679683170922,0,0,0,0,0,0,2.05380981721093,3.8515625,0
0.51,600,0,0,0,0,0,0,1.97531245584833,0,0,0,0,0,0,2.05380981721093,3.8515625,0
0.52,600,0,0,0,0,0,0,2.01382807998743,0,0,0,0,0,0,2.05380981721093,3.8515625,0
